Subject,Item,Key,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
46,boiling_juice,8.0,6.0,6.0,6.0,2.0,8.0,7.0,6.0,1.0,8.0,6.0
46,boiling_peach,2.0,3.0,1.0,4.0,5.0,4.0,1.0,3.0,8.0,3.0,5.0
46,boiling_beer,6.5,7.0,3.0,8.0,3.0,6.0,8.0,8.0,5.0,6.5,7.5
46,boiling_apple,2.0,3.0,5.0,5.0,4.0,5.0,2.0,4.0,3.0,2.0,3.5
46,boiling_pear,2.0,3.0,7.0,3.0,8.0,2.0,3.0,5.0,4.0,1.0,3.5
46,pouring_water,6.5,8.0,4.0,8.0,3.0,8.0,6.0,7.0,2.0,6.5,7.5
46,pouring_deer,5.0,1.5,7.0,1.5,5.0,1.0,3.0,1.0,3.0,4.0,2.0
46,pouring_rabbit,4.0,1.5,3.0,1.5,7.0,2.0,1.5,2.0,6.0,5.0,1.0
46,pouring_juice,8.0,6.0,1.0,6.0,2.0,6.0,5.0,6.0,4.0,8.0,6.0
46,pouring_peach,3.0,5.0,2.0,4.0,1.0,4.0,4.0,4.0,1.0,3.0,5.0
46,pouring_beer,6.5,7.0,5.0,7.0,4.0,7.0,7.0,8.0,5.0,6.5,7.5
46,pouring_apple,2.0,3.0,6.0,5.0,8.0,3.0,8.0,3.0,8.0,2.0,3.5
46,pouring_pear,1.0,4.0,8.0,3.0,6.0,5.0,1.5,5.0,7.0,1.0,3.5
46,drinking_water,6.5,8.0,3.0,8.0,3.0,5.0,6.0,7.0,8.0,6.5,7.5
46,drinking_deer,5.0,1.0,8.0,1.0,6.0,1.0,1.0,1.0,1.0,4.0,2.0
46,drinking_rabbit,4.0,2.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0
46,drinking_juice,8.0,6.0,4.0,6.0,4.0,3.0,4.0,6.0,4.0,8.0,6.0
46,drinking_peach,3.0,4.0,7.0,5.0,8.0,7.0,7.0,4.0,6.0,3.0,5.0
46,drinking_beer,6.5,7.0,5.0,7.0,2.0,4.0,3.0,8.0,5.0,6.5,7.5
46,drinking_apple,2.0,3.0,1.0,3.0,7.0,6.0,5.0,3.0,3.0,2.0,3.5
46,drinking_pear,1.0,5.0,2.0,4.0,1.0,8.0,8.0,5.0,7.0,1.0,3.5
46,chasing_water,1.5,5.0,1.0,3.5,4.0,4.0,2.0,5.0,2.0,1.5,1.5
46,chasing_deer,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,8.0
46,chasing_rabbit,7.0,7.0,5.0,7.0,8.0,7.0,5.0,7.0,1.0,7.0,7.0
46,chasing_juice,3.0,6.0,3.0,3.5,2.0,6.0,1.0,6.0,3.0,3.0,3.0
46,chasing_peach,6.0,3.0,4.0,3.5,3.0,3.0,6.0,3.0,7.0,6.0,5.0
46,chasing_beer,1.5,4.0,7.0,3.5,6.0,5.0,7.0,4.0,5.0,1.5,1.5
46,chasing_apple,5.0,2.0,6.0,3.5,1.0,2.0,3.0,2.0,4.0,5.0,5.0
46,chasing_pear,4.0,1.0,2.0,3.5,7.0,1.0,4.0,1.0,6.0,4.0,5.0
46,trapping_water,1.5,4.0,4.0,4.0,3.5,4.0,4.0,3.5,7.0,1.5,1.5
